,number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
0,1,This Afternoon,2024-01-16T13:00:00-08:00,2024-01-16T18:00:00-08:00,True,36,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': 30}","{'unitCode': 'wmoUnit:degC', 'value': -4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 65}",5 mph,S,"https://api.weather.gov/icons/land/day/snow,30?size=medium",Chance Rain And Snow,"A chance of rain and snow after 4pm. Mostly cloudy. High near 36, with temperatures falling to around 34 in the afternoon. South wind around 5 mph. Chance of precipitation is 30%. Little or no ice accumulation expected."
1,2,Tonight,2024-01-16T18:00:00-08:00,2024-01-17T06:00:00-08:00,False,32,F,rising,"{'unitCode': 'wmoUnit:percent', 'value': 100}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 93}",6 mph,SE,"https://api.weather.gov/icons/land/night/snow_fzra,100?size=medium",Freezing Rain,"Rain and snow before 9pm, then freezing rain and rain and snow. Cloudy. Low around 32, with temperatures rising to around 36 overnight. Southeast wind around 6 mph. Chance of precipitation is 100%. Little or no ice accumulation expected."
2,3,Wednesday,2024-01-17T06:00:00-08:00,2024-01-17T18:00:00-08:00,True,39,F,falling,"{'unitCode': 'wmoUnit:percent', 'value': 100}","{'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 100}",6 to 9 mph,S,"https://api.weather.gov/icons/land/day/rain,100/snow,100?size=medium",Rain then Rain And Snow Likely,"Rain before 1pm, then rain and snow likely between 1pm and 3pm, then rain and snow. Cloudy. High near 39, with temperatures falling to around 37 in the afternoon. South wind 6 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
3,4,Wednesday Night,2024-01-17T18:00:00-08:00,2024-01-18T06:00:00-08:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 80}","{'unitCode': 'wmoUnit:degC', 'value': 1.6666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 94}",5 to 9 mph,SSE,"https://api.weather.gov/icons/land/night/snow,80/snow,40?size=medium",Rain And Snow then Chance Rain And Snow,"Rain and snow before 10pm, then a chance of rain and snow. Mostly cloudy, with a low around 33. South southeast wind 5 to 9 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
4,5,Thursday,2024-01-18T06:00:00-08:00,2024-01-18T18:00:00-08:00,True,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 100}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 94}",5 to 9 mph,ENE,"https://api.weather.gov/icons/land/day/snow,80/snow,100?size=medium",Rain And Snow,"A chance of rain before 7am, then rain and snow. Cloudy, with a high near 38. East northeast wind 5 to 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
5,6,Thursday Night,2024-01-18T18:00:00-08:00,2024-01-19T06:00:00-08:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 100}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 88}",9 mph,E,"https://api.weather.gov/icons/land/night/snow,100?size=medium",Rain And Snow,"Rain and snow. Cloudy, with a low around 35. Chance of precipitation is 100%. New rainfall amounts between a half and three quarters of an inch possible."
6,7,Friday,2024-01-19T06:00:00-08:00,2024-01-19T18:00:00-08:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 90}","{'unitCode': 'wmoUnit:degC', 'value': 3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 88}",8 mph,ENE,"https://api.weather.gov/icons/land/day/rain,90/rain,80?size=medium",Light Rain,"Rain. Mostly cloudy, with a high near 42. Chance of precipitation is 90%."
7,8,Friday Night,2024-01-19T18:00:00-08:00,2024-01-20T06:00:00-08:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 2.7777777777777777}","{'unitCode': 'wmoUnit:percent', 'value': 90}",8 mph,ESE,https://api.weather.gov/icons/land/night/rain?size=medium,Light Rain,"Rain. Cloudy, with a low around 38."
8,9,Saturday,2024-01-20T06:00:00-08:00,2024-01-20T18:00:00-08:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 94}",8 mph,SSE,https://api.weather.gov/icons/land/day/rain?size=medium,Light Rain,"Rain. Cloudy, with a high near 45."
9,10,Saturday Night,2024-01-20T18:00:00-08:00,2024-01-21T06:00:00-08:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 5}","{'unitCode': 'wmoUnit:percent', 'value': 92}",9 mph,SE,https://api.weather.gov/icons/land/night/rain?size=medium,Light Rain,"Rain. Cloudy, with a low around 39."
10,11,Sunday,2024-01-21T06:00:00-08:00,2024-01-21T18:00:00-08:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 91}",8 mph,SE,https://api.weather.gov/icons/land/day/rain?size=medium,Light Rain,"Rain. Cloudy, with a high near 46."
11,12,Sunday Night,2024-01-21T18:00:00-08:00,2024-01-22T06:00:00-08:00,False,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 90}",8 mph,SE,https://api.weather.gov/icons/land/night/rain?size=medium,Light Rain,"Rain. Cloudy, with a low around 41."
12,13,Monday,2024-01-22T06:00:00-08:00,2024-01-22T18:00:00-08:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 93}",8 mph,SE,https://api.weather.gov/icons/land/day/rain?size=medium,Light Rain,"Rain before 5pm. Mostly cloudy, with a high near 49."
13,14,Monday Night,2024-01-22T18:00:00-08:00,2024-01-23T06:00:00-08:00,False,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': None}","{'unitCode': 'wmoUnit:degC', 'value': 6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 92}",9 mph,SSE,https://api.weather.gov/icons/land/night/bkn?size=medium,Mostly Cloudy,"Mostly cloudy, with a low around 41."
